,name,carbohydrate,total_fat,calories,protein,
0,"Cornstarch",91.27 g,0.1g,381,0.26 g,
1,"Nuts, pecans",13.86 g,72g,691,9.17 g,
2,"Eggplant, raw",5.88 g,0.2g,25,0.98 g,
3,"Teff, uncooked",73.13 g,2.4g,367,13.30 g,
4,"Sherbet, orange",30.40 g,2g,144,1.10 g,
5,"Cauliflower, raw",4.97 g,0.3g,25,1.92 g,
6,"Taro leaves, raw",6.70 g,0.7g,42,4.98 g,
7,"Lamb, raw, ground",0.00 g,23g,282,16.56 g,
8,"Cheese, camembert",0.46 g,24g,300,19.80 g,
9,"Vegetarian fillets",9.00 g,18g,290,23.00 g,
10,"PACE, Picante Sauce",6.25 g,0g,25,0.00 g,
11,"Goji berries, dried",77.06 g,0.4g,349,14.26 g,
12,"Mango nectar, canned",13.12 g,0.1g,51,0.11 g,
13,"Crackers, rusk toast",72.30 g,7.2g,407,13.50 g,
14,"Chicken, boiled, feet",0.20 g,15g,215,19.40 g,
15,"Quail, raw, meat only",0.00 g,4.5g,134,21.76 g,
16,"Pie, lemon, fried pies",42.60 g,16g,316,3.00 g,
17,"Peppers, raw, jalapeno",6.50 g,0.4g,29,0.91 g,
18,"Winged bean tuber, raw",28.10 g,0.9g,148,11.60 g,
19,"Salami, turkey, cooked",1.55 g,9.2g,172,19.20 g,
20,"Grapes, raw, muscadine",13.93 g,0.5g,57,0.81 g,
21,"Nuts, raw, ginkgo nuts",37.60 g,1.7g,182,4.32 g,
22,"Spices, ground, savory",68.73 g,5.9g,272,6.73 g,
23,"Candies, sesame crunch",50.30 g,33g,516,11.60 g,
24,"Cheese, low fat, cream",8.13 g,15g,201,7.85 g,
25,"PACE, Green Taco Sauce",6.25 g,0g,25,0.00 g,
26,"Syrup, Canadian, maple",67.38 g,0g,270,0.00 g,
27,"Ostrich, raw, top loin",0.00 g,3g,119,21.67 g,
28,"Chewing gum, sugarless",94.80 g,0.4g,268,0.00 g,
29,"Nuts, dried, pine nuts",13.08 g,68g,673,13.69 g,
30,"Pasta, unenriched, dry",74.67 g,1.5g,371,13.04 g,
31,"McDONALD'S, Side Salad",4.30 g,0.2g,20,1.03 g,
32,"Cookies, Marie biscuit",70.54 g,11g,406,7.05 g,
33,"Broccoli, raw, chinese",4.67 g,0.8g,30,1.20 g,
34,"McDONALD'S, Hash Brown",28.56 g,16g,271,2.48 g,
35,"Agave, raw (Southwest)",16.23 g,0.2g,68,0.52 g,
36,"Emu, raw, outside drum",0.00 g,0.5g,103,23.08 g,
37,"Nuts, dried, beechnuts",33.50 g,50g,576,6.20 g,
38,"Currants, dried, zante",74.08 g,0.3g,283,4.08 g,
39,"Lentils, raw, sprouted",22.14 g,0.6g,106,8.96 g,
40,"Gravy, mix, dry, onion",67.64 g,3g,322,9.00 g,
41,"Pie, fruit, fried pies",42.60 g,16g,316,3.00 g,
42,"Snacks, cakes, popcorn",80.10 g,3.1g,384,9.70 g,
43,"Snack, Mixed Berry Bar",58.84 g,11g,383,13.16 g,
44,"Fish, raw, sheepshead",0.00 g,2.4g,108,20.21 g,
45,"Babyfood, pear, juice",11.86 g,0g,47,0.00 g,
46,"Brussels sprouts, raw",8.95 g,0.3g,43,3.38 g,
47,"Broccoli raab, cooked",3.12 g,0.5g,33,3.83 g,
48,"Butter oil, anhydrous",0.00 g,99g,876,0.28 g,
49,"Chicory, raw, witloof",4.00 g,0.1g,17,0.90 g,
50,"KEEBLER, Waffle Cones",87.70 g,5.3g,424,6.50 g,
51,"KEEBLER, Waffle Bowls",87.70 g,5.3g,424,6.50 g,
52,"Broccoli, raw, leaves",5.06 g,0.4g,28,2.98 g,
53,"Durian, raw or frozen",27.09 g,5.3g,147,1.47 g,
54,"Tomatoes, raw, orange",3.18 g,0.2g,16,1.16 g,
55,"Tomatoes, raw, yellow",2.98 g,0.3g,15,0.98 g,
56,"Egg custards, dry mix",82.80 g,6.4g,410,6.90 g,
