,name,carbohydrate,total_fat,calories,protein,
0,"Almidon de maiz",91.27 g,0.1g,381,0.26 g,
1,"Nueces pecanas",13.86 g,72g,691,9.17 g,
2,"Berenjena",5.88 g,0.2g,25,0.98 g,
3,"Semillas Teff",73.13 g,2.4g,367,13.30 g,
4,"Sherbet, orange",30.40 g,2g,144,1.10 g,
5,"Coliflor",4.97 g,0.3g,25,1.92 g,
6,"Taro",6.70 g,0.7g,42,4.98 g,
7,"Cordero",0.00 g,23g,282,16.56 g,
8,"Queso camembert",0.46 g,24g,300,19.80 g,
9,"Filetes vegetarianos",9.00 g,18g,290,23.00 g,
10,"Salsa picante",6.25 g,0g,25,0.00 g,
11,"Bayas de Goji secas",77.06 g,0.4g,349,14.26 g,
12,"Nectar de mango",13.12 g,0.1g,51,0.11 g,
13,"Galletas",72.30 g,7.2g,407,13.50 g,
14,"Pollo hervido",0.20 g,15g,215,19.40 g,
15,"Carne de codorniz",0.00 g,4.5g,134,21.76 g,
16,"Pie",42.60 g,16g,316,3.00 g,
17,"Pimientos",6.50 g,0.4g,29,0.91 g,
18,"Frijoles caseros",28.10 g,0.9g,148,11.60 g,
19,"Salami",1.55 g,9.2g,172,19.20 g,
20,"Uvas",13.93 g,0.5g,57,0.81 g,
21,"Nueces de Ginkgo",37.60 g,1.7g,182,4.32 g,
22,"Calabaza",10.42 g,0.1g,40,0.80 g,
23,"Salchicha de puerco",2.95 g,26g,301,14.03 g,
24,"Queso crema",8.13 g,15g,201,7.85 g,
25,"Jamon ahumado",7.27 g,2.4g,122,17.93 g,
26,"Jarabe de maple",67.38 g,0g,270,0.00 g,
27,"Nabos",2.94 g,0.2g,16,1.04 g,
28,"Frijoles en lata",21.63 g,5.2g,155,5.54 g,
29,"Pinon",13.08 g,68g,673,13.69 g,
30,"Pasta",74.67 g,1.5g,371,13.04 g,
31,"Carambola",6.73 g,0.3g,31,1.04 g,
33,"Zanahorias",7.90 g,0.5g,36,0.78 g,
33,"Brocoli",4.67 g,0.8g,30,1.20 g,
34,"Caqui",73.43 g,0.6g,274,1.38 g,
35,"Miel de agave",16.23 g,0.2g,68,0.52 g,
36,"Fideos",71.27 g,4.4g,384,14.16 g,
37,"Hayucos",33.50 g,50g,576,6.20 g,
38,"Grosellas",74.08 g,0.3 g,283,4.08 g,
39,"Lentejas",22.14 g,0.6 g,106,8.96 g,
40,"Salsa de cebolla",67.64 g,3g,322,9.00 g,
41,"Tarta de frutas",42.60 g,16g,316,3.00 g,
